ds,yhat,yhat_lower,yhat_upper,y,cutoff
2010-09-29,8.032049597118121,6.837560970375857,9.141626461439005,7.640599,2010-09-20
2010-09-30,8.000122952882212,6.972215483576328,9.217695442111923,7.931007,2010-09-20
2010-10-01,8.084764432368033,6.898432405260137,9.329436890724375,8.25369,2010-09-20
2010-10-02,8.19207835654726,6.990902504951155,9.364615220871888,8.25435,2010-09-20
2010-10-03,8.27664962146736,7.136197244677085,9.448915865875477,8.150185,2010-09-20
2010-10-04,8.207938728001531,7.0968958290231505,9.355474764148212,7.462467,2010-09-20
2010-10-19,8.330765439356298,7.1932086721343955,9.487113765013492,7.868815,2010-10-18
2010-10-20,8.314414576125282,7.174141372591329,9.535206722529782,8.322435,2010-10-18
2010-10-21,8.260479124305055,7.189313190017952,9.446548458299747,8.622598,2010-10-18
2010-10-22,8.412698553871515,7.29229178274441,9.499228468326054,8.977579,2010-10-18
2010-10-23,8.505452725186956,7.367111582375455,9.64985987241594,9.101081,2010-10-18
2010-10-24,8.485019064151679,7.322816021532737,9.56838316971571,8.680477,2010-10-18
2010-10-25,8.616115438773265,7.422813140053627,9.783280025861558,8.985104,2010-10-18
2010-10-26,8.390052505961632,7.21923272281245,9.535441566494855,8.099625,2010-10-18
2010-10-27,8.571185115360548,7.482302768436406,9.708000523142129,8.415776,2010-10-18
2010-10-28,8.656386341522431,7.548564520137553,9.762589992087392,7.689093,2010-10-18
2010-10-29,8.501483939559614,7.368636921041232,9.618818038835458,7.375761,2010-10-18
2010-10-30,8.527346913250698,7.442844420058637,9.690033197404853,9.232068,2010-10-18
2010-10-31,8.629799558973723,7.498856556896939,9.728103474271418,8.612792,2010-10-18
2010-11-01,8.548740102932607,7.427323676667187,9.694767032930484,7.865935,2010-10-18
2010-11-16,9.094189745050171,7.8556578188892034,10.260781909162883,9.620492,2010-11-15
2010-11-17,9.18467318216549,8.016093695790218,10.365412066747941,10.073323,2010-11-15
2010-11-18,9.072484741733653,7.978058870229001,10.208582382628546,10.585841,2010-11-15
2010-11-19,8.97605221259576,7.752042834043544,10.143643706461209,10.795221,2010-11-15
2010-11-20,9.127943088342045,7.965911918407915,10.252677353549442,10.792625,2010-11-15
2010-11-21,9.310432373683831,8.172391719785498,10.509096687090294,10.908406,2010-11-15
2010-12-14,9.518142993406542,8.312426142912857,10.73690374810939,9.7737,2010-12-13
2010-12-15,9.414456493665346,8.201161012794193,10.561213400983393,9.133367,2010-12-13
2010-12-16,9.483475623203136,8.27806265235872,10.665383396291869,9.501692,2010-12-13
2010-12-17,9.644722629849733,8.501400200923905,10.840248133017033,9.852129,2010-12-13
2010-12-18,9.30387263540674,8.16912053263294,10.52494140376988,10.103507,2010-12-13
2010-12-19,9.578136091761404,8.472858294435879,10.661854088382045,10.280178,2010-12-13
2010-12-20,9.816907569915312,8.709604024822392,10.976458555327886,10.293609,2010-12-13
2010-12-21,9.847924322995212,8.685250002498822,11.024055518631604,10.691507,2010-12-13
2010-12-22,9.854573116791306,8.69219070696332,10.977981801838817,10.498825,2010-12-13
2010-12-23,9.900334656548582,8.759490408713113,11.041243078890066,10.562256,2010-12-13
2010-12-24,10.00307256571496,8.73707582343461,11.152768453826129,10.84936,2010-12-13
2010-12-25,10.007360343237304,8.884880409910009,11.188575535997758,10.758633,2010-12-13
2010-12-26,9.984202498614795,8.928087993334904,11.165177333251556,10.684899,2010-12-13
2010-12-27,10.085520315228525,8.98797356435375,11.230134997256554,10.304574,2010-12-13
2011-01-11,10.075840008230438,8.953854282008376,11.273209682747579,10.629677,2011-01-10
2011-01-12,10.355720840649234,9.161472376866957,11.471043508180745,10.71011,2011-01-10
2011-01-13,10.425099929042947,9.346890447234738,11.550097740077957,10.764119,2011-01-10
2011-01-14,10.632901375685224,9.41739798926644,11.754571736822422,10.519025,2011-01-10
2011-01-15,10.523672433209391,9.358028818305657,11.596927984627367,10.51273,2011-01-10
2011-01-17,10.574022098471898,9.408066829171785,11.770266845545413,10.65669,2011-01-10
2011-01-18,10.623822555509774,9.41553575939828,11.720698906524174,10.384467,2011-01-10
2011-01-19,10.49734854619678,9.377111978003976,11.610036586042392,10.799696,2011-01-10
2011-01-20,10.453469673159898,9.352079485572709,11.639453669032502,9.835488,2011-01-10
2011-01-21,10.451753395757692,9.332791764077534,11.682962320829834,9.464172,2011-01-10
2011-01-22,10.869178924300122,9.688818607574698,12.061226616015782,8.956106,2011-01-10
2011-01-23,10.775826326767081,9.60338263780141,11.887048257311962,8.555007,2011-01-10
2011-01-24,10.700901813238909,9.438712905254777,11.842354559637217,8.765747,2011-01-10
2011-02-08,10.635085252391944,9.459912935486134,11.771751632054208,10.365091,2011-02-07
2011-02-09,10.443842700586018,9.241897950094966,11.583225951498076,10.332984,2011-02-07
2011-02-10,10.344330475363057,9.116020664753437,11.486169351748357,9.274561,2011-02-07
2011-02-11,10.457683867470962,9.346031296508091,11.641349683620398,9.198262,2011-02-07
2011-02-12,10.479236627905228,9.308948979149312,11.63882831620935,9.147282,2011-02-07
2011-02-13,10.506781217364498,9.330197678403207,11.709747404369026,9.302812,2011-02-07
2011-02-15,10.566532555789898,9.386940394793424,11.737307707382936,9.104265,2011-02-07
2011-02-16,10.721030602238278,9.538099203984386,11.843596456453952,9.402549,2011-02-07
2011-02-17,10.75785649441466,9.611914341271378,11.88833789052598,10.244401,2011-02-07
2011-02-18,10.597954040101923,9.45616956534891,11.710421913525384,9.843702,2011-02-07
2011-02-19,10.657043571538637,9.440682445360254,11.815289518095652,10.56375,2011-02-07
2011-02-20,10.612807571028275,9.372232003316267,11.802956217087802,10.949086,2011-02-07
2011-02-21,10.750784547822178,9.562581697929932,11.939319571560521,11.607795,2011-02-07
2011-03-08,10.531156497418431,9.485865991606365,11.673370962183862,10.131789,2011-03-07
2011-03-09,10.712950492246762,9.62809372541537,11.854468325607012,9.73981,2011-03-07
2011-03-10,10.719994389295257,9.60409078877429,11.789687718044084,9.622056,2011-03-07
2011-03-11,10.763930250484595,9.711943225804667,11.922491205526645,10.271284,2011-03-07
2011-03-12,10.5994503389461,9.391551922258657,11.735761112917636,10.475198,2011-03-07
